title,artist,bpm,energy,danceability,acousticness,instrumentalness,mood,vocals,instrumentation,genre
Tum Jab Paas,Prateek Kuhad,122,0.344,0.751,0.528,1.62e-06,calm,soft vocals,bass,singer-songwriter
Si Sos Brujo,Alfredo Gobbi,117,0.396,0.555,0.886,0.554,balanced,soft vocals,piano,tango
Seeing Red,Entombed,124,0.973,0.2,2.98e-05,0.000521,intense,pop vocals,guitar,black-metal
Midnight In A Perfect World,DJ Shadow,80,0.644,0.664,0.531,0.661,balanced,instrumental,bass,trip-hop
Driveway,Cody Johnson,130,0.565,0.486,0.27,0.0,dark,pop vocals,bass,country
Why Am I Waiting,Papithbk,126,0.387,0.747,0.347,0.0,dark,rap vocals,bass,sad
The Universal,Blur,164,0.546,0.32,0.181,1.98e-06,dark,pop vocals,bass,alt-rock
From The Ashes (with Skylar Grey),ILLENIUM;Skylar Grey,155,0.789,0.404,0.0243,0.000231,intense,pop vocals,guitar,dub
Hotta Chocolatta,Ella Fitzgerald,121,0.532,0.85,0.768,0.0,bright,pop vocals,acoustic,jazz
Tudo Pro Alto - Ao Vivo,Charlie Brown Jr.,93,0.983,0.474,0.0182,0.000128,energetic,pop vocals,guitar,hard-rock
Nivel De Perreo,J Balvin;Ryan Castro,92,0.828,0.802,0.0217,0.0,energetic,pop vocals,electronic,reggae
From the Ashes,ILLENIUM;Skylar Grey,155,0.789,0.404,0.0243,0.000231,intense,pop vocals,guitar,dub
Homing Device,Jeff Mills,128,0.793,0.549,0.339,0.883,balanced,instrumental,guitar,detroit-techno
"Christmas Oratorio, BWV 248 / Part One - For The First Day Of Christmas: No. 1 Chorus: ""Jauchzet, frohlocket""",Johann Sebastian Bach;The Monteverdi Choir;English Baroque Soloists;John Eliot Gardiner,135,0.327,0.499,0.937,0.161,calm,soft vocals,acoustic,classical
Solitary Daze,Maceo Plex;Gabriel Ananda,125,0.739,0.69,0.0127,0.905,balanced,instrumental,bass,minimal-techno
Vida Perra,OConnor,137,0.967,0.509,2.73e-05,0.000211,balanced,pop vocals,guitar,heavy-metal
Kina Chir,The PropheC,118,0.431,0.622,0.0955,0.0,balanced,pop vocals,bass,pop
Feels Like You,Faime,93,0.352,0.848,0.789,0.000105,balanced,soft vocals,acoustic,chill
Arquipelago,Gui Boratto,125,0.692,0.807,0.129,0.934,balanced,instrumental,electronic,techno
Ragga Tip (Walk & Skank) - Original Mix,Ed Solo;Deekline,175,0.958,0.714,0.000976,0.0118,energetic,pop vocals,electronic,breakbeat
Skin Deep,The Stranglers,129,0.814,0.638,0.149,0.76,energetic,instrumental,guitar,synth-pop
The Spoils,Massive Attack;Hope Sandoval,143,0.169,0.425,0.706,0.335,dark,soft vocals,acoustic,trip-hop
FLY HIGH!!,BURNOUT SYNDROMES,94,0.961,0.475,0.0132,0.0,balanced,pop vocals,guitar,j-pop
You,Dan + Shay,170,0.572,0.544,0.118,0.0,balanced,pop vocals,bass,country
Wave of Death,Municipal Waste,82,0.99,0.402,1.85e-05,0.549,balanced,pop vocals,guitar,death-metal
Suzume,RADWIMPS;Toaka,78,0.415,0.571,0.615,0.0,dark,pop vocals,acoustic,emo
一千一秒物語,Seiko Matsuda,123,0.704,0.657,0.274,0.0,balanced,pop vocals,bass,j-idol
Morgen kickt der Kater,Julian Sommer,136,0.963,0.614,0.0834,0.0,energetic,pop vocals,guitar,party
Chão de Giz,Zé Ramalho;Paulinho Moska,141,0.327,0.613,0.767,1.37e-06,dark,soft vocals,acoustic,brazil
How Far I'll Go,Da Tweekaz,150,0.876,0.555,0.0851,0.0,balanced,pop vocals,guitar,hardstyle
The Nobodies,Marilyn Manson,150,0.823,0.431,4.6e-05,3.45e-05,intense,pop vocals,guitar,industrial
"Fokus (Jugglerz, Miami Yacine, Nura feat. Bausa & Joshi Mizu)",Jugglerz;Miami Yacine;Nura;Bausa;Joshi Mizu,120,0.805,0.73,0.154,0.000113,intense,pop vocals,electronic,j-dance
Deep End,William Black,114,0.706,0.63,0.0991,0.0,intense,pop vocals,bass,dubstep
Trains I Missed,Balsam Range,93,0.534,0.562,0.772,5.05e-05,balanced,pop vocals,acoustic,bluegrass
Happier,Marshmello;Bastille,100,0.792,0.687,0.191,0.0,energetic,pop vocals,guitar,edm
Aro Ekber,Fossils,137,0.475,0.387,0.0734,0.000527,dark,pop vocals,bass,folk
All We Know,The Chainsmokers;Phoebe Ryan,90,0.586,0.662,0.097,0.00272,dark,pop vocals,bass,house
木枯しに抱かれて,Kyoko Koizumi,114,0.779,0.64,0.0824,0.00397,balanced,pop vocals,guitar,techno
"Srivalli (From ""Pushpa The Rise Part - 01"")",Javed Ali;Devi Sri Prasad,107,0.603,0.787,0.435,0.0,bright,pop vocals,electronic,pop
Roller Coaster/Ok to Be Gay/Pornucopia/Gay Exec,Ron White,84,0.414,0.478,0.919,0.0,dark,rap vocals,acoustic,comedy
This Love is 4 Real,Omar S,124,0.902,0.781,0.0814,0.858,intense,instrumental,electronic,detroit-techno
Socadona - Funk Remix,LUDMILLA;DJ Will22;Topo La Maskara;Mariah Angeliq;Mr. Vegas,135,0.756,0.844,0.135,0.00424,balanced,pop vocals,electronic,pagode
One Little Christmas Tree,Stevie Wonder,92,0.377,0.406,0.764,0.0,bright,soft vocals,acoustic,soul
Every Breath You Take,Deep Chills,120,0.573,0.78,0.249,0.245,bright,pop vocals,electronic,french
Have You Ever Seen The Rain,Creedence Clearwater Revival,116,0.697,0.741,0.0665,2.35e-05,energetic,pop vocals,electronic,country
"a world of chaos (feat. Rxseboy, Jomie & Ivri)",Powfu;Rxseboy;Jomie;Ivri,136,0.457,0.777,0.481,0.0,bright,pop vocals,bass,sad
Muevan Las Industrias,Los Prisioneros,152,0.604,0.686,0.12,0.496,balanced,pop vocals,bass,ska
Lover,Taylor Swift,69,0.543,0.359,0.492,1.57e-05,balanced,pop vocals,bass,pop
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,152,0.924,0.558,0.0271,3.32e-06,balanced,pop vocals,guitar,emo
Vai,Unha Pintada,135,0.618,0.616,0.0903,0.0,balanced,pop vocals,bass,forro
God Is A Dancer,Tiësto;Mabel,120,0.747,0.798,0.0284,1.9e-06,energetic,pop vocals,electronic,house
679,Fetty Wap;Remy Boyz,190,0.717,0.618,0.00256,0.0,balanced,pop vocals,bass,j-pop
Feel Your Body,Shift K3Y,124,0.765,0.712,0.0363,0.129,energetic,pop vocals,electronic,groove
If It Kills Me,Jason Mraz,144,0.429,0.633,0.0444,0.0,balanced,pop vocals,bass,acoustic
Christmas Without You,OneRepublic,207,0.677,0.262,0.447,0.0,balanced,pop vocals,bass,rock
It Will Rain,Bruno Mars,150,0.835,0.572,0.337,0.0,balanced,pop vocals,guitar,dance
Sunsetz,Cigarettes After Sex,75,0.479,0.405,0.0527,0.795,dark,instrumental,bass,ambient
Beat Soup,Beat Oven,80,0.295,0.727,0.402,0.887,bright,instrumental,bass,study
Trying To Breathe,Off With Their Heads,165,0.973,0.452,0.00111,0.000431,energetic,pop vocals,guitar,power-pop
Definitivamente,Daddy Yankee;Sech,100,0.764,0.812,0.59,0.0,balanced,pop vocals,acoustic,hip-hop
Oru Naalaikkul,Yuvan Shankar Raja;Karthik;Reeta,120,0.735,0.706,0.37,0.0165,energetic,pop vocals,electronic,k-pop
Someday At Christmas,Stevie Wonder,101,0.536,0.325,0.614,0.0,dark,pop vocals,acoustic,soul
The King Is Gone (So Are You),George Jones,117,0.282,0.758,0.466,0.0,calm,soft vocals,bass,honky-tonk
Crimewave,Crystal Castles,120,0.691,0.746,0.184,0.0259,energetic,pop vocals,electronic,hardcore
W.M.O.N,AMARIA BB,174,0.553,0.777,0.554,0.0742,bright,pop vocals,acoustic,j-dance
At My Worst,Pink Sweat$,92,0.415,0.813,0.777,0.0,bright,pop vocals,acoustic,soul
"Dawn - From ""Pride & Prejudice"" Soundtrack",Dario Marianelli;Jean-Yves Thibaudet,79,0.0525,0.332,0.991,0.891,dark,instrumental,piano,ambient
Alone,Jon Caryl,82,0.402,0.507,0.713,0.0233,dark,pop vocals,acoustic,sad
Tokyo,Dwin;Kush Kush,128,0.91,0.73,0.109,0.144,intense,pop vocals,electronic,electronic
Jesus I Need You,Hillsong Worship,155,0.467,0.397,0.00954,0.0,dark,pop vocals,bass,world-music
Spring 1 - 2012,Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,106,0.341,0.701,0.499,0.903,dark,instrumental,bass,ambient
A Marshmallow World,Brenda Lee,121,0.406,0.73,0.444,0.0,bright,pop vocals,bass,rockabilly
unravel,TK from Ling tosite sigure,135,0.889,0.508,0.0495,0.0,intense,pop vocals,guitar,anime
River Flows In You,Yiruma,145,0.22,0.315,0.987,0.943,dark,instrumental,piano,piano
Labareda - Ao Vivo,Jefferson & Suellen,133,0.843,0.348,0.116,0.0,intense,pop vocals,guitar,gospel
Run Rudolph Run,Chuck Berry,152,0.876,0.647,0.881,3.59e-05,energetic,pop vocals,acoustic,rockabilly
Heaven Nor Hell,Volbeat,134,0.767,0.411,0.000621,0.00842,energetic,pop vocals,guitar,metal
The Litsy Bitsy Spider,Pj Panda,150,0.663,0.765,0.0055,0.0,intense,pop vocals,electronic,kids
Junto a Mí Estás Tú,Doctora Juguetes;Lambie,132,0.761,0.505,0.801,0.0,balanced,pop vocals,acoustic,disney
Yaariyaan - Male Vocals,Mohan Kannan,75,0.519,0.497,0.0754,3.07e-05,balanced,pop vocals,bass,indie-pop
sunday am,SLKBTS,80,0.646,0.718,0.457,0.234,bright,pop vocals,electronic,study
Lessons In Love,Level 42,113,0.839,0.709,0.159,0.00209,energetic,pop vocals,electronic,synth-pop
I Got U,Duke Dumont;Jax Jones,121,0.761,0.636,0.00383,0.00784,balanced,pop vocals,guitar,progressive-house
Make Some Noise - Julian Jumpin Perez Mix,Fast Eddie;Julian 'Jumpin' Perez,123,0.85,0.788,0.000296,0.000983,balanced,pop vocals,electronic,chicago-house
Mariage D'Amour,George Davidson,160,0.199,0.252,0.984,0.846,dark,instrumental,piano,new-age
No One Dies From Love,Tove Lo,121,0.803,0.659,0.0745,1.16e-06,intense,pop vocals,guitar,swedish
Tarde - Remastered,Julio Sosa,118,0.562,0.443,0.933,3.78e-05,bright,pop vocals,acoustic,tango
Por Favor,Gamadinho,148,0.548,0.601,0.881,0.0,balanced,pop vocals,acoustic,pagode
Every Time,Wilkinson,174,0.921,0.505,0.000126,0.00138,balanced,pop vocals,guitar,drum-and-bass
Help! - Remastered 2009,The Beatles,95,0.725,0.534,0.188,0.0,energetic,pop vocals,bass,british
Faz Chover - Ao Vivo,Trazendo a Arca,133,0.617,0.498,0.277,0.0,dark,pop vocals,bass,groove
Meu Oxigênio - Live,Matheus & Kauan,159,0.757,0.313,0.375,0.0,balanced,pop vocals,guitar,sertanejo
The Hunter And The Prey,Headhunterz;Sian Evans,150,0.968,0.463,0.000791,7.55e-05,intense,rap vocals,guitar,hardstyle
Cruel Summer Pt.1 - Radio Edit,Dope Ammo;Émilie Rachel,175,0.91,0.527,0.000789,0.687,intense,instrumental,guitar,drum-and-bass
Te Amo Te Extraño,Guayacán Orquesta,142,0.58,0.709,0.0429,4.92e-05,balanced,pop vocals,electronic,salsa
Não vou me adaptar,Titãs,81,0.399,0.536,0.307,0.000327,balanced,soft vocals,bass,mpb
Let Me Let You Go,ONE OK ROCK,96,0.831,0.533,0.00804,0.0,energetic,pop vocals,guitar,j-rock
Não Tem Essa Que Não Chora,Raquel dos Teclados,140,0.644,0.807,0.31,1.37e-06,bright,pop vocals,electronic,forro
Closer,The Chainsmokers;Halsey,95,0.524,0.748,0.414,0.0,bright,pop vocals,bass,house
Impresiones del Encanto,Germaine Franco,96,0.0466,0.711,0.984,0.751,dark,instrumental,piano,disney
Library/Steal Music,Ron White,84,0.408,0.524,0.923,0.0,dark,rap vocals,acoustic,comedy
Rosa,J Balvin,176,0.583,0.637,0.258,8.19e-05,dark,pop vocals,bass,reggae
killer,FKA twigs,79,0.619,0.401,0.168,0.0,bright,pop vocals,bass,trip-hop
The Little Drummer Boy,Stevie Wonder,135,0.448,0.523,0.442,0.0,balanced,pop vocals,bass,soul
Promised Land,The Disco Boys;Jay Frog;Fabrizio Levita,125,0.923,0.732,0.00219,0.0137,energetic,pop vocals,electronic,techno
Happier,Marshmello;Bastille,100,0.792,0.687,0.191,0.0,energetic,pop vocals,guitar,progressive-house
First Class,Jack Harlow,107,0.563,0.905,0.0254,9.71e-06,dark,pop vocals,electronic,k-pop
Eyes Wide Open,Staind,168,0.936,0.29,0.000481,0.0275,balanced,pop vocals,guitar,grunge
Limbo,Daddy Yankee,125,0.878,0.805,0.0754,0.00329,energetic,pop vocals,electronic,latin
Mikasa,Veil Of Maya,110,0.991,0.501,2.46e-05,0.0,intense,pop vocals,guitar,death-metal
O Come All Ye Faithful,Carrie Underwood,91,0.308,0.248,0.797,0.0,dark,soft vocals,acoustic,country
Check Em,A.Skillz;Krafty Kuts,95,0.767,0.789,0.00224,0.76,energetic,instrumental,electronic,breakbeat
For Whom The Bell Tolls - Remastered,Metallica,118,0.858,0.518,0.00563,0.00349,intense,pop vocals,guitar,hard-rock
Der kleine Zinnsoldat,Rolf Zuckowski,95,0.475,0.761,0.297,0.000256,bright,pop vocals,bass,children
Uma Thurman,Fall Out Boy,150,0.961,0.623,0.102,0.000171,energetic,pop vocals,guitar,emo
Baby Shark (Trap Remix),Pj Panda,126,0.465,0.914,0.00174,0.000798,dark,pop vocals,bass,kids
Feliz Cumpleaños Ferxxo,Feid,95,0.573,0.865,0.0863,0.0,balanced,pop vocals,electronic,latin
Ave de Paso,Charlo,113,0.265,0.545,0.978,4.05e-06,calm,soft vocals,acoustic,tango
The Kids Aren't Alright,The Offspring,100,0.943,0.523,0.00704,3.81e-05,energetic,pop vocals,guitar,punk-rock
Un Pacto - Live In Buenos Aires / 2001,Bersuit Vergarabat,73,0.549,0.364,0.425,3.81e-06,dark,pop vocals,bass,ska
No Silêncio,Rose Nascimento,128,0.633,0.414,0.644,0.0,dark,pop vocals,acoustic,brazil
Crackles,White Noise for Babies,134,0.741,0.153,0.129,0.697,intense,instrumental,bass,sleep
Collide,Justine Skye;Tyga,136,0.32,0.426,0.102,0.0,dark,soft vocals,bass,chill
Rojo,J Balvin,172,0.595,0.652,0.15,0.000106,balanced,pop vocals,bass,reggaeton
Cresça,Leandro Borges;Vanilda Bordieri,148,0.843,0.472,0.41,0.0,balanced,pop vocals,guitar,gospel
Remote Control,RWND;Soulspeaker,150,0.964,0.519,0.00891,0.0639,balanced,pop vocals,guitar,hardstyle
當你,Cyndi Wang,136,0.646,0.638,0.661,0.0,dark,pop vocals,acoustic,mandopop
Say It Ain't So,Weezer,152,0.551,0.635,0.00743,1.82e-05,balanced,pop vocals,bass,alt-rock
Little Saint Nick - 1991 Remix,The Beach Boys,131,0.553,0.602,0.108,0.0,bright,pop vocals,bass,psych-rock
Playboy,Fireboy DML,159,0.674,0.555,0.334,1.28e-06,energetic,pop vocals,bass,dancehall
Ich bleib hier,Mia Julia;Mütze Katze,130,0.728,0.855,0.0155,0.0,energetic,pop vocals,electronic,party
23 (Mixed),Burna Boy,103,0.541,0.688,0.178,0.127,bright,pop vocals,bass,dancehall
Boku no Sensou,Shinsei Kamattechan,144,0.936,0.473,0.00916,0.0422,balanced,pop vocals,guitar,j-rock
Vai e Chora - Ao Vivo,Sorriso Maroto,145,0.876,0.601,0.823,0.0,balanced,pop vocals,acoustic,pagode
Field,Porya Hatami,66,0.128,0.209,0.978,0.94,dark,instrumental,piano,iranian
Reckless Love,Cory Asbury,111,0.685,0.572,0.0291,0.0,intense,pop vocals,bass,world-music
Her Şeyi Yak,Duman,100,0.538,0.629,0.461,0.0,dark,pop vocals,bass,turkish
Yaarum Illa,Yuvan Shankar Raja;Anthony Daasan,130,0.64,0.603,0.258,0.0,bright,pop vocals,bass,k-pop
Bring Me To Life,Evanescence,190,0.943,0.318,0.00721,2.06e-06,intense,pop vocals,guitar,alternative
Clap,Armin van Buuren,130,0.97,0.645,0.00804,0.562,intense,pop vocals,guitar,trance
Aadha Ishq,Salim–Sulaiman;Shreya Ghoshal;Amitabh Bhattacharya,83,0.505,0.546,0.314,2.93e-05,balanced,pop vocals,bass,folk
Mi Cama - Remix,KAROL G;J Balvin;Nicky Jam,163,0.784,0.815,0.299,0.0,energetic,pop vocals,electronic,reggaeton
Qué Más Pues?,J Balvin;Maria Becerra,102,0.817,0.904,0.0254,0.000141,energetic,pop vocals,electronic,reggae
Memory,Promoting Sounds;Rxseboy;SadBoyProlific,115,0.694,0.748,0.0616,0.000167,intense,pop vocals,electronic,sad
what are you so afraid of,XXXTENTACION,103,0.312,0.639,0.774,0.469,dark,soft vocals,acoustic,emo
Assino Com X - Ao Vivo,Maurício & Eduardo;Humberto & Ronaldo,155,0.557,0.585,0.814,0.0,balanced,pop vocals,acoustic,sertanejo
Raise a Hallelujah (Studio Version),Bethel Music;Jonathan David Helser;Melissa Helser,164,0.823,0.42,0.00985,0.0,balanced,pop vocals,guitar,world-music
Tere Jeya Hor Disda,The Yellow Diary,90,0.526,0.561,0.774,0.00605,balanced,pop vocals,acoustic,indie
Surrender to the Rhythm,Brinsley Schwarz,135,0.624,0.573,0.0519,0.00144,bright,pop vocals,bass,power-pop
Nothing Feels Better,Pink Sweat$,81,0.395,0.769,0.285,0.0,balanced,soft vocals,bass,chill
Blessed-Cursed,ENHYPEN,127,0.886,0.604,0.0925,0.0,balanced,pop vocals,guitar,anime
The Wild Palm,Kyson,58,0.249,0.297,0.971,0.00568,dark,soft vocals,acoustic,idm
Ranjha - Reprise,Jasleen Royal;B Praak;Romy;Anvita Dutt,83,0.291,0.565,0.506,0.0045,dark,soft vocals,bass,songwriter
Vanilla,Diljit Dosanjh,172,0.716,0.722,0.132,1.05e-05,balanced,pop vocals,electronic,pop-film
Carrousel (feat. Indila),Amir;Indila,122,0.388,0.722,0.366,0.0,balanced,soft vocals,bass,french
Dekho Dekho,Saicharan;Ritesh G Rao;Chiranjeevi;Salman Khan,175,0.968,0.638,0.744,0.00205,balanced,pop vocals,acoustic,indie
Me diga,Nando Reis,87,0.905,0.533,0.238,6.12e-06,energetic,pop vocals,guitar,brazil
Attention,Omah Lay;Justin Bieber,120,0.72,0.817,0.172,0.000726,balanced,pop vocals,electronic,dancehall
Rain Is A Good Thing,Luke Bryan,108,0.931,0.622,0.106,2.45e-06,balanced,pop vocals,guitar,country
Bombs Away (Throwback Cypher),dj Shawny,93,0.389,0.714,0.00179,0.56,bright,soft vocals,bass,club
Mokerharde Kicks,Dither,155,0.917,0.611,0.0251,5.87e-05,balanced,pop vocals,guitar,idm
Nakhre,Zack Knight,170,0.632,0.524,0.255,0.0,balanced,pop vocals,bass,hip-hop
Hard Candy Christmas,Cyndi Lauper,94,0.361,0.549,0.742,0.0,dark,soft vocals,acoustic,disco
Need You,Horizon Blue;S3da;Coulson,110,0.647,0.704,0.732,0.000197,dark,pop vocals,acoustic,french
"Monsters, Inc.",Randy Newman,110,0.484,0.675,0.722,0.814,bright,instrumental,acoustic,disney
CertoPeloCertoh,BaianaSystem;VANDAL,150,0.72,0.726,0.327,0.0,energetic,pop vocals,electronic,afrobeat
Black Lungs,Architects,90,0.932,0.462,0.000139,7.02e-05,balanced,pop vocals,guitar,metalcore
Take Me Up,Ralphi Rosario,123,0.722,0.894,0.0341,0.117,energetic,pop vocals,electronic,chicago-house
If We Have Each Other,Alec Benjamin,173,0.577,0.656,0.698,0.0,bright,pop vocals,acoustic,electro
The Little Drummer Boy,Jim Brickman,139,0.0709,0.351,0.981,0.872,dark,instrumental,piano,new-age
Run Rudolph Run,Chuck Berry,152,0.876,0.647,0.881,3.59e-05,energetic,pop vocals,acoustic,r-n-b
De Tanto Chimbiar,Feid;Totoy El Frio,90,0.602,0.821,0.108,0.0,balanced,pop vocals,electronic,latino
At My Worst (feat. Kehlani),Pink Sweat$;Kehlani,92,0.484,0.731,0.73,3.01e-06,dark,pop vocals,acoustic,chill
X ÚLTIMA VEZ,Daddy Yankee;Bad Bunny,90,0.855,0.812,0.0789,0.000167,balanced,pop vocals,electronic,latino
"Suite for Solo Cello No. 1 in G Major, BWV 1007 (Transcr. for Solo Guitar by Göran Söllscher): I. Prélude",Johann Sebastian Bach;Göran Söllscher,140,0.201,0.358,0.957,0.886,dark,instrumental,piano,german
Ella Es,Tony Vega,99,0.843,0.483,0.279,0.0,energetic,pop vocals,guitar,salsa
Transform,Sound Rush;Sogma,155,0.896,0.319,0.00139,3.01e-05,balanced,pop vocals,guitar,hardstyle
White Christmas,Oscar Peterson,79,0.0242,0.406,0.956,0.773,dark,instrumental,piano,piano
WASABI,Da Tweekaz;Blasterjaxx;Maikki,150,0.941,0.528,0.0199,0.000716,intense,pop vocals,guitar,hardstyle
Pra Você,Novo Som,128,0.406,0.562,0.654,0.0,dark,pop vocals,acoustic,groove
Quieres,Aitana;Emilia;Ptazeta,180,0.646,0.796,0.0744,0.0,bright,pop vocals,electronic,spanish
Acaso Não Sabeis - Ao Vivo,Colo de Deus,124,0.555,0.358,0.685,0.0,dark,pop vocals,acoustic,brazil
Defenders of the Grave,Exhumed,110,0.971,0.263,1.47e-05,9.92e-05,intense,pop vocals,guitar,grindcore
Tum Jab Paas,Prateek Kuhad,122,0.344,0.751,0.528,1.62e-06,calm,soft vocals,bass,folk
"Rasiya (From ""Brahmastra"")",Pritam;Shreya Ghoshal;TUSHAR JOSHI,79,0.796,0.54,0.371,0.00165,balanced,pop vocals,guitar,indian
Después De Hacer El Amor,Lalo Rodriguez,94,0.701,0.699,0.802,0.000222,energetic,pop vocals,acoustic,salsa
Dance In The Dark,Lady Gaga,121,0.751,0.639,2.97e-05,4.96e-05,intense,pop vocals,guitar,dance
Numpty,Paolo Nutini,123,0.441,0.839,0.727,9.86e-06,bright,pop vocals,acoustic,british
BINGO,LooLoo Kids,101,0.849,0.85,0.332,2.42e-06,energetic,pop vocals,electronic,children
Ele Te Bota Soca Soca,MC Mazzie;Mc Rd;DJ NpcSize;DJ Wizard,130,0.746,0.896,0.108,1.19e-06,energetic,pop vocals,electronic,funk
Pump It Up,Elvis Costello & The Attractions,139,0.809,0.645,0.00921,0.00108,energetic,pop vocals,guitar,power-pop
O Saathi,Atif Aslam;Arko,90,0.496,0.481,0.588,0.0,balanced,pop vocals,acoustic,pop-film
"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",Arijit Singh,80,0.45,0.329,0.594,0.0,dark,pop vocals,acoustic,pop-film
Downstroy,Soulfly,149,0.899,0.382,0.00211,0.133,balanced,pop vocals,guitar,industrial
ガラスの林檎(SEIKO STORY〜80's HITS COLLECTION〜),Seiko Matsuda,93,0.527,0.629,0.63,0.0,dark,pop vocals,acoustic,j-idol
特別的人,Khalil Fong,140,0.488,0.563,0.332,0.0,dark,pop vocals,bass,cantopop
Dynamite,Sean Paul;Sia,101,0.86,0.624,0.0704,0.0,energetic,pop vocals,guitar,dancehall
Tarzan Boy,Baltimora,107,0.803,0.703,0.346,0.000912,energetic,pop vocals,electronic,synth-pop
Fica Tudo Bem - Ao Vivo,Leandro Borges,136,0.724,0.458,0.314,0.0,balanced,pop vocals,bass,gospel
Diagnosis,Iron Lung,71,0.994,0.244,8.43e-05,0.669,intense,instrumental,guitar,grindcore
I Need U (Remix),yaeow;Gustixa,85,0.315,0.501,0.872,0.81,dark,instrumental,piano,sad
Black Santa,The Red Chord,98,0.92,0.28,6.62e-05,9.31e-06,intense,pop vocals,guitar,grindcore
All The Small Things,blink-182,149,0.9,0.442,0.0109,0.0,balanced,pop vocals,guitar,punk-rock
Haari Main Haari,Karthik Rao;Shilpa Surroch,135,0.276,0.695,0.935,0.00422,calm,soft vocals,acoustic,songwriter
Dear John,Hank Williams,170,0.346,0.745,0.739,0.0,bright,soft vocals,acoustic,honky-tonk
Hara-Kiri,Magrudergrind,126,0.96,0.211,1.75e-06,0.825,balanced,instrumental,guitar,grindcore
I'm Yours,Jason Mraz,151,0.444,0.703,0.559,0.0,bright,pop vocals,acoustic,acoustic
"Raga Yaman, Alaap",Traditional;Paul Livingstone;Peter Jacobson,169,0.00297,0.257,0.982,0.39,dark,soft vocals,acoustic,sleep
When I'm Gone,Alesso;Katy Perry,125,0.886,0.685,0.028,0.0,balanced,pop vocals,guitar,house
You Might Think,The Cars,134,0.855,0.728,0.109,0.000576,energetic,pop vocals,electronic,power-pop
I Need You,Germaine Franco,75,0.0569,0.246,0.957,0.945,dark,instrumental,piano,disney
Secreto,Anuel AA;KAROL G,92,0.803,0.807,0.6,0.0085,energetic,pop vocals,acoustic,reggae
Dance Little Liar,Arctic Monkeys,100,0.607,0.538,0.0586,0.769,balanced,instrumental,bass,garage
"Marakkuma Nenjam - From ""Vendhu Thanindhathu Kaadu""",A.R. Rahman;Thamarai,120,0.394,0.662,0.789,0.124,dark,soft vocals,acoustic,pop-film
Nachtrijders - Radio Cut,De Doelleazen;Henk Wijngaard,190,0.958,0.578,0.00366,0.0123,energetic,pop vocals,guitar,hardstyle
I WANNA SEE SOME ASS,Jack Harlow;jetsonmade,108,0.652,0.907,0.284,0.000337,energetic,pop vocals,electronic,k-pop
Home - Outtake,Kristen Bell,102,0.424,0.708,0.724,0.0,balanced,pop vocals,acoustic,disney
One - Radio Edit,Swedish House Mafia,125,0.78,0.802,0.0075,0.824,balanced,instrumental,electronic,progressive-house
Silver Bells - 2015 Mix,The Supremes,149,0.277,0.296,0.513,0.0,dark,soft vocals,bass,disco
All The Small Things,blink-182,149,0.897,0.434,0.0103,0.0,energetic,pop vocals,guitar,punk-rock
From Gold,Novo Amor,100,0.433,0.392,0.92,0.646,dark,pop vocals,piano,ambient
Back to You,Flower Face,83,0.202,0.389,0.887,2.86e-06,dark,soft vocals,acoustic,ambient
Where Do My Bluebird Fly,Trout Steak Revival,121,0.546,0.556,0.745,0.000104,bright,pop vocals,acoustic,bluegrass
On Repeat,Robin Schulz;David Guetta,123,0.801,0.609,0.0246,0.00255,intense,pop vocals,guitar,house
Love You Better,John De Sohn;Rasmus Hagen,103,0.785,0.733,0.0934,0.00135,energetic,pop vocals,electronic,progressive-house
Malarodu Malaringu,Roshan Sebastian,103,0.247,0.465,0.873,0.0,dark,soft vocals,acoustic,indie-pop
Guns and Ships,Leslie Odom Jr.;Daveed Diggs;Original Broadway Cast of Hamilton,138,0.666,0.72,0.399,0.0,balanced,pop vocals,electronic,show-tunes
All I Want For Christmas Is My Two Front Teeth,The Platters,79,0.338,0.693,0.752,0.0,calm,soft vocals,acoustic,rock-n-roll
Master of Puppets,Metallica,105,0.868,0.538,0.000599,0.482,balanced,pop vocals,guitar,hard-rock
Skate,Bruno Mars;Anderson .Paak;Silk Sonic,112,0.598,0.708,0.037,0.0,bright,pop vocals,electronic,dance
Thoughts of Ancient Gods,Alphaxone;Onasander;protoU,116,0.181,0.169,0.32,0.856,dark,instrumental,bass,iranian
散步之年,my little airport,115,0.305,0.636,0.658,0.204,calm,soft vocals,acoustic,cantopop
Last Last,Burna Boy,88,0.565,0.795,0.131,0.0,balanced,pop vocals,electronic,dancehall
Aunque Te Enamores,Valentín Elizalde,150,0.389,0.6,0.564,0.0,bright,soft vocals,acoustic,r-n-b
The Pretender,Foo Fighters,173,0.959,0.433,0.000917,0.0,balanced,pop vocals,guitar,grunge
Vida Vazia,Desejo De Menina;Yara Tchê,82,0.843,0.588,0.262,0.0,energetic,pop vocals,guitar,forro
Sanctuary!,Alan Menken;Chorus - The Hunchback Of Notre Dame,75,0.272,0.174,0.736,0.0502,dark,soft vocals,acoustic,disney
В лесу родилась ёлочка,Kvatro,110,0.419,0.561,0.884,0.0,balanced,pop vocals,acoustic,romance
